,Sentences,Epoch: 1 (ckpt: 831),Epoch: 2 (ckpt: 1662),Epoch: 3 (ckpt: 2493),Epoch: 4 (ckpt: 3324),Epoch: 5 (ckpt: 4155),Epoch: 6 (ckpt: 4986),Epoch: 7 (ckpt: 5817),Epoch: 8 (ckpt: 6648),Epoch: 9 (ckpt: 7479)
0,"Всё не так, как тебе кажется.",183.0401153564453,134.03460693359375,89.08964538574219,98.73755645751953,55.964115142822266,39.6786994934082,37.689971923828125,37.498992919921875,35.46763610839844
1,"Мне нравится видеть сквозь мех, перья и чешую.",2715.125,1722.851318359375,2114.619384765625,2990.713623046875,2547.2197265625,1715.7164306640625,1764.1937255859375,1549.080078125,1879.349609375
2,Некоторые из них хотели схватить Его; но никто не наложил на Него рук.,409.8962097167969,343.9658203125,242.0266876220703,176.03147888183594,175.85069274902344,216.4093017578125,145.5592498779297,132.32620239257812,159.1952362060547
3,Ничего.,4988.49072265625,2184.615478515625,7647.75390625,4292.76806640625,4487.7138671875,2685.74853515625,2794.044677734375,4169.55517578125,3715.1552734375
4,Проверьте больше отличных игр для вашего IPad в iPadCasinoApp.com,4307.66650390625,2429.798828125,2096.4609375,633.7626342773438,398.28082275390625,500.0272521972656,704.4368896484375,505.41455078125,473.0254211425781
5,"- Дом, милый дом.",498.1939392089844,1246.1396484375,1643.833984375,975.5690307617188,657.4473266601562,2403.93896484375,1819.6763916015625,950.9508666992188,757.7705078125
6,"В прошлом году Нью-Йорк Таймс опубликовала исследование, проведённое по инициативе правительства.",1038.159423828125,439.5016174316406,242.9060821533203,186.91639709472656,146.237548828125,114.26547241210938,102.59652709960938,103.97830963134766,84.54705810546875
7,"Пятый Ангел вылил чашу свою на престол зверя: и сделалось царство его мрачно, и они кусали языки свои от страдания,",2292.608154296875,1268.5501708984375,890.438232421875,856.683837890625,926.8067626953125,1047.8172607421875,918.4589233398438,755.2562866210938,788.7649536132812
8,"Я выдвигаю гипотезу, что меньше вещей и меньше пространства будут меньше воздействовать на окружающую среду.",1182.0765380859375,694.4805908203125,331.8429260253906,323.2076721191406,289.9482421875,233.4573974609375,175.91543579101562,196.05470275878906,152.23922729492188
9,Она никуда не денется.,924.9697265625,328.8233947753906,382.80108642578125,297.0746765136719,178.00094604492188,118.46546936035156,71.17024230957031,90.83833312988281,63.844154357910156
10,Куда же мы попали?,873.77783203125,1048.825439453125,538.3014526367188,982.5759887695312,567.1879272460938,321.8542785644531,317.8764953613281,316.9080505371094,246.68270874023438
