,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,الأمر ليس كما تعتقدينه,441.41937255859375,242.4403076171875,394.4759521484375,176.36175537109375,198.51828002929688,177.3938446044922,90.30685424804688,130.9093475341797,98.48876953125,99.52335357666016
1,أود تناسي الفروة والريش والقشور.,1081.7503662109375,852.5516357421875,551.4899291992188,726.3786010742188,582.5899658203125,622.534912109375,543.7254028320312,495.00762939453125,487.72540283203125,480.6255187988281
2,وكان قوم منهم يريدون ان يمسكوه ولكن لم يلق احد عليه الايادي,659.406494140625,589.5042724609375,402.8931884765625,285.6036071777344,388.12890625,275.92999267578125,264.087158203125,188.4109649658203,189.33074951171875,188.5596160888672
3,أوه، أنها على ما يرام.,77.15589904785156,60.40612030029297,58.026214599609375,26.533241271972656,33.0377197265625,22.9208984375,22.5867977142334,22.821155548095703,19.827362060546875,18.00608253479004
4,تحقق من الألعاب أكثر عظيمة لباد الخاص بك في iPadCasinoApp.com,357.1671447753906,364.1095275878906,203.29666137695312,251.2187957763672,187.26699829101562,156.36898803710938,171.37059020996094,222.30213928222656,154.5301971435547,156.26797485351562
5,مرحبًا بالعودة إلى المنزل,74.63095092773438,86.7614517211914,79.89482116699219,51.71023941040039,37.989383697509766,39.16677474975586,33.502140045166016,30.267189025878906,29.470932006835938,28.914161682128906
6,"ففي العام الماضي، نشرت ""صحيفة نيويورك تايمز"" دراسة قامت بها الحكومة.",910.5234985351562,564.4652709960938,428.4606018066406,157.70115661621094,150.01553344726562,93.12660217285156,91.5010757446289,82.47290802001953,70.82782745361328,64.55469512939453
7,ثم سكب الملاك الخامس جامه على عرش الوحش فصارت مملكته مظلمة وكانوا يعضّون على ألسنتهم من الوجع,885.2600708007812,594.204345703125,557.181640625,368.8545227050781,330.6390686035156,265.56573486328125,263.666259765625,289.8047790527344,235.54672241210938,217.93716430664062
8,لذا أقترح أن أمتعة أقل في مساحة أصغر تشغل حيزًا أصغر,648.0260620117188,312.4700927734375,351.0173034667969,262.9510803222656,197.50543212890625,232.50332641601562,204.68772888183594,215.13104248046875,209.54554748535156,189.78457641601562
9,إنها لن تذهب إلى أي مكان,258.62579345703125,93.44580078125,71.51937866210938,71.53684997558594,46.59587478637695,36.618507385253906,35.498680114746094,27.08317756652832,23.78851318359375,21.770713806152344
10,أين نحنُ بحق الجحيم؟,88.54424285888672,74.29204559326172,62.81730651855469,28.90805435180664,28.490760803222656,28.22026824951172,21.47531509399414,20.404926300048828,22.630983352661133,21.06849479675293
