,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,"Es ist nicht, was du denkst.",1.3153022527694702,1.1393464803695679,1.0299766063690186,1.0035711526870728,1.0260909795761108,1.0684045553207397,1.047621488571167,0.9698573350906372,0.9937247633934021,0.9789292812347412
1,"Ich lasse gern den Pelz, das Gefieder, und die Schuppen hinter mir.",2.1897552013397217,2.16577410697937,2.1067724227905273,2.0078728199005127,2.0588972568511963,1.964972972869873,1.906968593597412,1.9275758266448975,1.9003527164459229,1.8653874397277832
2,Es wollten aber etliche ihn greifen; aber niemand legte die Hand an ihn.,1.9265621900558472,1.5956599712371826,1.7948012351989746,1.6822651624679565,1.671156406402588,1.6351451873779297,1.5989693403244019,1.4997005462646484,1.5587561130523682,1.5250548124313354
3,Ist okay.,2.0751941204071045,1.9497058391571045,2.017439842224121,2.163076162338257,2.0822339057922363,2.0345873832702637,2.164907932281494,1.9439274072647095,2.1063051223754883,2.054511547088623
4,Schauen Sie sich weitere große Spiele für Ihr iPad an iPadCasinoApp.com,2.1691534519195557,1.8723033666610718,1.8127859830856323,1.7334858179092407,1.8271554708480835,1.7097445726394653,1.6672101020812988,1.6888684034347534,1.6831649541854858,1.6995997428894043
5,Trautes Heim...,3.4645519256591797,2.9472763538360596,3.2717528343200684,3.101252794265747,3.452061176300049,3.433886766433716,3.484015464782715,3.5317838191986084,3.390505075454712,3.453150510787964
6,"Letztes Jahr hat die New York Times eine Studie veröffentlicht, die die Regierung durchgeführt hat.",1.5199764966964722,1.2365397214889526,1.0775384902954102,1.0386582612991333,0.9999500513076782,0.8869997262954712,0.8393359780311584,0.793566882610321,0.7751306891441345,0.7438862919807434
7,"Und der fünfte Engel goß aus seine Schale auf den Stuhl des Tiers; und sein Reich ward verfinstert, und sie zerbissen ihre Zungen vor Schmerzen",2.378843069076538,2.1183762550354004,1.9902427196502686,1.9788354635238647,1.8086493015289307,1.7328248023986816,1.7290315628051758,1.7415255308151245,1.7377688884735107,1.7350777387619019
8,"Deshalb schlage ich Ihnen vor, dass weniger Zeug und weniger Platz zu einem kleineren Fussabdruck führen werden.",1.7664169073104858,1.6631275415420532,1.4780491590499878,1.5511106252670288,1.5052098035812378,1.3354829549789429,1.3344571590423584,1.322982668876648,1.3481019735336304,1.3188120126724243
9,Die bleibt schön hier.,1.8826383352279663,1.841976284980774,1.8874763250350952,1.6697418689727783,1.7986336946487427,1.775337815284729,1.8268215656280518,1.7055809497833252,1.735394835472107,1.7521398067474365
