,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,It's not what you think.,2.4741718769073486,2.4813039302825928,2.4705965518951416,2.0000252723693848,1.9304829835891724,1.9588984251022339,1.8848897218704224,1.8938498497009277,1.8327134847640991,1.8819918632507324
1,"I like to get past the fur, the feathers and the scales.",4.121253490447998,3.852084159851074,4.213554382324219,3.562473773956299,3.1613800525665283,3.312783718109131,3.197889566421509,3.077335834503174,3.1616992950439453,3.0961084365844727
2,"Some of them would have arrested him, but no one laid hands on him.",3.7275047302246094,3.5704479217529297,3.5165464878082275,3.379077911376953,2.7629787921905518,2.41363263130188,2.4258029460906982,2.3104591369628906,2.326435089111328,2.336819648742676
3,"Oh, it's okay.",3.5159664154052734,3.9688704013824463,4.0245490074157715,2.6067090034484863,2.7578654289245605,2.516857862472534,2.4092178344726562,2.462686777114868,2.297551393508911,2.3824052810668945
4,Check out more great Games for your iPad at iPadCasinoApp.com,7.05523681640625,6.23846960067749,5.674121379852295,4.984167575836182,4.909057140350342,4.491711616516113,4.354441165924072,4.192406177520752,4.219870567321777,4.173834800720215
5,"Home, sweet home.",6.00613260269165,5.0980939865112305,4.578423500061035,4.997853755950928,5.682122230529785,4.838143825531006,4.596948146820068,5.636013507843018,4.767621040344238,4.723186016082764
6,"Last year, The New York Times published a study that the government had done.",2.8217785358428955,3.1842055320739746,3.101200819015503,2.8130810260772705,2.512263774871826,2.4487595558166504,2.3882646560668945,2.3084280490875244,2.306145191192627,2.2601208686828613
7,"And the fifth angel poured out his vial upon the seat of the beast; and his kingdom was full of darkness; and they gnawed their tongues for pain,",3.900059223175049,4.071981430053711,3.6464743614196777,3.6948459148406982,3.490560531616211,3.4340250492095947,3.323582172393799,3.0552608966827393,3.0393760204315186,3.0352416038513184
8,So I'm going to suggest that less stuff and less space are going to equal a smaller footprint.,3.7115628719329834,3.7431046962738037,3.496809482574463,3.2205960750579834,3.1456263065338135,2.8740954399108887,2.8828048706054688,2.865706443786621,2.78534197807312,2.795358896255493
9,She's not going anywhere.,2.4167611598968506,2.628664255142212,2.727834701538086,2.637242078781128,1.9149733781814575,1.7809133529663086,1.807676076889038,1.8804758787155151,1.7436130046844482,1.764149785041809
10,Where the hell are we?,3.802299737930298,3.510422468185425,3.4629738330841064,2.359156370162964,1.9675909280776978,1.961953043937683,1.997131109237671,1.9863343238830566,1.9657492637634277,1.9606454372406006
11,"Once you've figured this out, it is tempting to keep writing the same poem, or keep telling the same story, over and over, once you've figured out that it will gain you applause.",3.458209276199341,3.6880946159362793,3.3882880210876465,3.1515979766845703,3.0814132690429688,3.0303122997283936,2.864598035812378,2.783735990524292,2.696805000305176,2.6580615043640137
12,Enter your username,5.796759128570557,7.650865077972412,5.842646598815918,4.122127056121826,3.0217068195343018,2.938753604888916,2.3849740028381348,2.320909023284912,2.302523612976074,2.195030450820923
13,"We all have bodies, don't we? Did I miss a meeting?",4.989986419677734,4.589785575866699,4.438381195068359,4.7665324211120605,3.7206337451934814,3.6572487354278564,3.562023878097534,3.58857798576355,3.463707685470581,3.4897122383117676
14,Uploaded on: {{ data.dateFormatted }},32.81706619262695,30.493255615234375,26.19614028930664,18.352537155151367,12.226362228393555,9.273124694824219,8.336348533630371,8.3761625289917,8.170379638671875,7.163585662841797
15,- How did you know that?,2.5300562381744385,2.6746201515197754,3.04722261428833,2.15640926361084,1.8861595392227173,1.8489000797271729,1.7564969062805176,1.7770839929580688,1.7183998823165894,1.7332708835601807
16,"And if you've ever been in a meeting where you play sort of meeting ""chicken,"" you're sitting there, looking at the person, waiting for them to look away, and then quickly checking the device.",3.10227632522583,3.111642837524414,3.1967945098876953,2.9175925254821777,2.7804391384124756,2.7284770011901855,2.6904518604278564,2.634901762008667,2.644617795944214,2.601746082305908
17,Are you certain?,4.102311134338379,3.462211847305298,4.328874111175537,3.0129363536834717,2.5987982749938965,2.5971434116363525,2.4971072673797607,2.5101430416107178,2.579660654067993,2.4652037620544434
18,"And he saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her.",3.850579261779785,4.29238748550415,3.769563674926758,3.688493251800537,3.1742992401123047,3.1637930870056152,2.824115753173828,2.7629547119140625,2.71490478515625,2.653024673461914
